Lithology/chemistry,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,SO3,P2O5,Cl,Total
LIMB,3.02,2.61,0.35,64.56,13.63,3.80,3.78,4.54,0.05,,0.07,,100.95
LIMB,1.31,1.98,1.15,47.42,13.98,2.91,10.36,10.68,0.15,,0.08,,99.00
LIMB,2.27,1.66,0.48,58.22,14.29,3.93,6.91,6.95,0.07,,0.07,,100.50
LIMB,4.52,1.44,0.32,65.25,14.42,4.17,3.00,3.55,0.07,,0.07,,99.59
LIMB,2.26,2.07,0.67,60.03,14.88,4.76,4.45,5.76,0.13,,0.13,,98.86
LIMB,2.55,2.36,0.60,64.66,14.84,4.75,2.95,5.21,0.15,,0.13,,101.27
LIMB,3.46,1.48,0.35,69.97,13.26,4.59,2.29,3.53,0.06,,0.08,,101.21
LIMB,3.55,1.24,0.44,69.45,12.83,4.07,2.51,3.63,0.06,,0.09,,99.96
LIMB,2.51,1.89,0.54,60.37,14.58,4.68,5.08,6.03,0.08,,0.10,,100.29
LIMB,2.19,2.64,0.76,62.36,14.17,4.62,3.88,5.51,0.19,,0.11,,99.62
LIMB,1.68,1.95,0.55,65.78,13.89,5.28,3.03,5.01,0.14,,0.17,,100.00
LIMB,1.05,6.12,1.40,43.97,16.02,2.72,9.41,11.82,0.31,,0.13,,99.27
LIMB,3.19,1.82,0.62,61.75,14.34,4.75,4.09,5.78,0.19,,0.12,,100.09
