Lithology/chemistry,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,SO3,P2O5,Cl,Total
UIM,0.73,33.49,0.27,21.12,5.11,1.40,5.07,2.79,0.07,,0.04,,100.00
UIM,3.92,5.21,0.79,58.15,17.08,4.87,2.29,3.91,0.06,0.16,0.13,,99.74
UIM,4.22,3.59,0.66,64.97,16.69,4.21,1.84,2.84,0.04,,0.09,,101.58
UIM,3.59,10.26,0.59,53.78,13.99,3.72,3.39,4.10,0.12,,0.08,,100.38
UIM,4.34,6.19,0.60,59.29,14.96,4.16,2.17,3.91,0.10,0.15,0.13,,99.54
UIM,5.05,7.25,0.75,57.53,16.16,4.14,1.98,4.24,0.13,,0.10,,100.94
UIM,4.39,6.65,0.74,57.78,15.70,4.34,2.88,4.83,0.13,0.15,0.14,,101.02
UIM,3.23,10.39,0.63,49.69,12.77,3.43,5.25,5.77,0.13,,0.08,,100.01
UIM,4.12,6.53,0.71,56.50,15.41,4.16,3.67,5.31,0.13,0.19,0.13,,100.20
UIM,5.43,7.42,0.63,57.40,15.64,4.07,1.85,3.88,0.15,,0.09,,101.26
UIM,4.58,7.71,0.59,56.31,15.04,4.10,2.21,3.87,0.12,0.14,0.12,,100.19
UIM,4.51,6.64,0.62,56.48,14.76,3.95,2.61,4.21,0.14,,0.09,,98.23
UIM,3.49,8.58,0.49,56.16,12.80,3.86,3.90,4.53,0.11,0.15,0.12,,99.92
UIM,3.90,4.08,0.61,56.87,15.49,4.25,3.26,4.51,0.09,,0.09,,97.39
UIM,4.26,5.47,0.62,58.63,17.57,4.27,2.32,3.99,0.06,,0.09,,101.53
UIM,3.77,4.49,0.57,61.36,15.96,4.47,2.14,3.54,0.05,0.18,0.12,,99.93
UIM,3.00,3.88,0.58,58.50,15.99,4.69,3.20,3.80,0.04,,0.07,,98.24
UIM,5.11,4.70,0.59,62.03,15.87,3.62,1.70,3.61,0.06,,0.07,,101.11
UIM,3.16,3.47,0.34,68.65,12.77,4.06,1.54,2.48,0.07,,0.04,,100.81
