Lithology/chemistry,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,SO3,P2O5,Cl,Total
Dolerite,2.90,2.40,0.96,47.02,16.25,2.42,9.40,9.90,0.16,,0.06,,98.83
Dolerite,0.39,9.84,1.19,45.67,14.32,1.99,10.03,10.28,0.20,,0.07,,100.57
Dolerite,0.49,10.69,1.11,46.02,14.51,2.00,9.70,11.18,0.17,,0.11,,101.08
Dolerite,0.65,5.31,1.33,45.44,15.01,2.68,11.09,12.47,0.27,,0.07,,100.96
Dolerite,0.41,8.02,1.13,46.66,14.97,2.18,10.28,11.21,0.27,,0.06,,100.52
Dolerite,0.54,7.84,1.26,44.25,13.60,2.42,10.05,11.95,0.22,,0.13,,98.85
Dolerite,0.60,4.82,1.01,42.98,14.65,2.32,12.03,12.48,0.23,,0.07,,98.37
Dolerite,0.54,5.56,1.46,44.10,13.75,2.33,11.18,11.87,0.36,,0.10,,99.57
Dolerite,0.45,4.96,1.67,44.64,14.77,2.67,11.57,12.96,0.26,,0.10,,102.47
Dolerite,0.95,6.82,1.43,45.54,14.47,2.94,9.16,12.29,0.21,,0.15,,99.73
Dolerite,0.36,3.48,1.33,40.85,13.54,2.01,13.77,12.87,0.18,,0.09,,99.40
Dolerite,0.25,3.18,1.83,39.34,12.77,2.25,15.56,14.23,0.20,,0.11,,101.93
Dolerite,0.46,8.79,0.81,46.06,15.52,2.50,8.96,10.13,0.18,,0.06,,99.26
