Sample,Point No.,Line,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,Cl,SO3,Total
D1_sph1,1, 3837 G,0.86,21.26,0.62,51.57,13.85,2.46,4.29,4.55,0.16,0.01,0.02,99.65
D1_sph1,2, 3838 G,0.61,24.94,0.6,48.62,12.88,1.8,4.52,4.86,0.12,0,0.25,99.21
D1_sph1,3, 3839 G,1.34,17.58,0.63,54.09,13.99,3.07,3.66,4.34,0.13,-0.01,0.05,98.85
D1_sph1,4, 3840 G,0.91,19.85,0.65,52.31,13.84,2.59,3.99,4.9,0.13,0,0.16,99.34
D1_sph1,5, 3841 G,0.89,21.1,0.64,50.91,13.55,2.3,4.34,4.48,0.11,0,0.07,98.39
D1_sph1,6, 3842 G,0.57,23.72,0.66,49.18,13.19,1.98,4.74,4.61,0.13,0,0.12,98.88
D1_sph2,1, 3843 G,0.32,27.32,0.57,47.98,12.2,1.13,5.4,4.63,0.12,0,0.54,100.22
D1_sph2,2, 3844 G,1.95,10.38,0.53,61.42,14.95,3.53,2.64,4.17,0.12,0,0.01,99.71
D1_sph2,3, 3845 G,0.88,13.12,0.63,58.76,15.17,2.15,3.95,5.16,0.14,0,0.02,99.97
D1_sph2,4, 3846 G,1.87,7.33,0.65,63.57,15.34,3.39,2.71,4.75,0.15,0,0,99.76
D1_sph2,5, 3847 G,0.18,28.48,0.62,46.19,12.06,0.72,5.39,5.14,0.14,0,0.26,99.16
D1_sph3,1, 3849 G,0.15,23.59,0.78,44.42,13.92,0.51,9.03,7.64,0.18,0.01,0.05,100.28
D1_sph3,2, 3850 G,0.36,21.31,0.66,50.36,13.83,1.28,5.87,6.59,0.18,-0.01,0.04,100.47
D1_sph3,3, 3851 G,0.6,18.22,0.69,53.39,14.4,1.73,4.88,5.76,0.15,0,0.04,99.85
D1_sph3,4, 3852 G,0.79,14.17,0.62,54.85,14.71,2.19,5.01,6.6,0.22,-0.01,0.03,99.19
