Sample,Point No.,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,Cl,SO3,P2O5,Total
90G15-1,,1.00,10.90,0.76,60.30,13.70,2.40,3.80,5.70,0.15,,,,98.71
90G15N-3,,1.60,8.20,0.67,60.90,14.80,3.60,2.80,5.20,0.13,,,,97.90
90G15N-5,,1.70,8.00,0.62,61.10,14.70,3.60,2.70,5.00,0.05,,,,97.47
90G15-B,,1.70,7.90,0.80,61.60,14.90,3.50,2.80,5.40,0.18,,,,98.78
90G15N-17,,1.30,10.00,0.48,61.60,13.80,2.70,3.10,4.70,0.01,,,,97.69
90G15-2,,1.60,7.70,0.81,61.70,14.90,3.60,2.70,5.40,0.18,,,,98.59
90G15-4,,1.60,7.70,0.81,61.90,14.90,3.60,2.80,5.40,0.18,,,,98.89
90G15-5,,1.60,7.40,0.79,62.00,15.00,3.50,2.70,5.30,0.16,,,,98.45
90G15-A,,1.60,7.40,0.84,62.30,15.00,3.50,2.70,5.50,0.17,,,,99.01
90G15-C,,1.70,7.50,0.79,62.30,15.10,3.60,2.70,5.30,0.15,,,,99.14
90G15N-8,,1.20,7.90,0.60,62.30,14.20,2.50,3.50,5.50,0.17,,,,97.87
90G15N-6,,1.60,6.80,0.62,62.70,15.10,3.40,2.50,5.30,,,,,98.02
90G15N-14,,1.70,6.30,0.56,62.90,15.00,3.70,2.50,5.20,0.07,,,,97.93
90G15N-10,,1.50,6.40,0.57,62.40,14.80,3.10,3.00,5.30,0.06,,,,97.13
90G15N-13,,1.70,6.00,0.54,63.50,15.00,3.60,2.40,5.20,0.06,,,,98.00
90G15N-2,,1.60,5.80,0.52,64.70,14.50,3.10,2.70,4.80,0.11,,,,97.83
90G15-E,,1.70,5.50,0.72,64.70,15.30,3.40,2.40,5.00,0.08,,,,98.80
90G15N-9,,1.60,5.70,0.53,64.80,14.60,3.10,2.60,4.90,0.14,,,,97.97
90G15N-1,,1.80,5.40,0.58,64.80,15.10,3.50,2.30,4.80,0.06,,,,98.34
90G15N-4,,1.60,5.10,0.58,65.10,15.20,3.20,2.40,4.60,0.08,,,,97.86
90G15-D,,1.50,6.00,0.73,65.30,14.10,3.00,2.70,5.30,0.08,,,,98.71
90G15N-7,,1.70,4.90,0.48,65.50,14.30,3.20,2.60,4.90,0.14,,,,97.72
90G15N-11,,1.80,5.00,0.51,66.10,14.20,3.60,2.50,4.60,0.06,,,,98.37
90G15-3,,1.80,5.00,0.68,66.10,14.30,3.50,2.50,5.00,0.03,,,,98.91
90G15N-16,,1.50,4.80,0.52,66.80,14.30,3.10,2.50,4.70,0.14,,,,98.36
90G15N-15,,1.30,5.00,0.56,66.90,14.30,2.90,2.50,4.70,0.03,,,,98.19
90G15-6,,1.30,4.70,0.69,67.60,14.40,2.90,2.50,4.70,0.05,,,,98.84
90G15N-12,,1.30,4.50,0.53,67.90,14.10,2.90,2.20,4.60,0.11,,,,98.14
