Sample,Point No.,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,Cl,SO3,P2O5,Total
H-1,,1.59,8.12,0.71,62.25,15.06,3.78,2.77,5.40,0.18,,,0.07,99.93
H-2,,1.71,5.77,0.62,65.07,15.31,3.73,2.28,5.14,0.17,,,0.09,99.89
H-3,,1.55,5.65,0.63,65.45,15.29,3.72,2.35,5.03,0.18,,,0.02,99.87
H-4,,1.65,7.56,0.69,62.82,15.05,3.91,2.63,5.34,0.17,,,0.09,99.91
H-5,,1.78,6.72,0.63,63.53,15.61,4.08,2.33,4.87,0.17,,,0.10,99.82
H-6,,1.52,8.39,0.71,61.42,15.40,4.09,2.75,5.32,0.17,,,0.06,99.83
H-7,,1.50,7.23,0.68,63.30,15.31,3.65,2.58,5.44,0.18,,,0.06,99.93
H-9,,1.60,7.46,0.71,63.46,15.71,2.79,2.61,5.42,0.18,,,0.07,100.01
H-9B,,1.74,7.40,0.70,63.01,15.46,3.61,2.54,5.26,0.15,,,0.09,99.96
H-10,,1.59,7.54,0.67,62.86,15.16,3.86,2.64,5.33,0.19,,,0.08,99.92
H-10B,,1.63,7.49,0.67,63.04,15.26,3.69,2.53,5.38,0.16,,,0.10,99.95
